Name,Age,Gender,Tourist Destination Visited,Month of Travel,Season of Travel,Duration of Stay (days),Number of People Traveled With,Visited during Festival/Event?,Main Reason for Visiting
Kiran Singh,31,Male,Vrindavan,August,Monsoon,12,1,No,Festival
Sujeet Yadav,22,Female,Kashmir,August,Festival,4,10,No,Business
Prisha Chitkote,38,Male,,April,Monsoon,14,4,No,Festival
Sara Verma,25,Male,Konkan,July,Festival,7,9,Yes,Festival
Saanvi Joshi,45,Female,Manali,August,Monsoon,2,1,Yes,Holiday
Kiran Ghosh,39,Male,Goa,June,Monsoon,6,6,Yes,Holiday
Aarav Pandey,18,Male,Konkan,January,Festival,10,8,Yes,Holiday
Gaurav Mishra,57,Male,Vrindavan,January,Monsoon,11,6,No,Business
Rohit Chitkote,33,Male,Jaipur,January,Festival,13,1,No,Pilgrimage
Gaurav Joshi,23,Male,Shimla,March,Monsoon,10,9,No,Business
Gaurav Reddy,48,Female,Kashmir,November,Monsoon,7,5,No,Business
Krishna Joshi,36,Female,Kashmir,March,Monsoon,3,5,Yes,Holiday
Sunita Thakur,32,Male,Manali,May,Winter,3,8,No,Holiday
Sujeet Verma,,Male,Shimla,November,Winter,,,Yes,Pilgrimage
Prisha Sharma,40,Male,Manali,October,Festival,7,5,No,Holiday
Ananya Joshi,57,Male,Goa,July,Monsoon,2,2,No,Pilgrimage
Sunita Waghmare,52,Female,Manali,September,Festival,15,6,Yes,Pilgrimage
Pooja Iyer,30,Female,Kashmir,August,Monsoon,12,4,Yes,
Vihaan Chitkote,26,Male,Konkan,March,Winter,3,8,No,Business
Abhilasha Iyer,34,Male,Goa,June,Monsoon,12,9,Yes,Pilgrimage
Sunita Iyer,41,Female,Vrindavan,May,Monsoon,13,7,No,Pilgrimage
Reyansh Mishra,36,Male,Kashmir,October,Summer,8,1,No,Festival
,31,Male,Konkan,July,Summer,3,5,Yes,Business
Ira Verma,60,Male,Konkan,May,Winter,14,8,No,Pilgrimage
Ayaan Kulkarni,32,Female,Kashmir,June,Monsoon,6,8,Yes,Business
Vihaan Patil,31,Female,Konkan,March,Winter,12,4,No,Holiday
Arjun Waghmare,39,Male,Konkan,February,Summer,15,1,No,Festival
Reyansh Jadhav,32,Female,Jaipur,December,Summer,13,10,Yes,Business
Sara Verma,32,Male,Jaipur,September,Festival,12,9,Yes,Holiday
Aditya Waghmare,32,Male,Konkan,May,,15,7,Yes,Pilgrimage
Sara Reddy,18,Male,Goa,May,Festival,7,4,Yes,Festival
Vivaan Naidu,23,Male,Kashmir,August,Summer,14,8,No,Festival
Anika Thakur,60,,Goa,September,Winter,3,8,No,Festival
Aditya Yadav,53,Female,Kashmir,October,Festival,2,10,No,Holiday
Sujeet Yadav,,Female,Manali,October,Festival,9,,Yes,Business
Ananya Singh,36,Female,Jaipur,January,Monsoon,14,6,No,Pilgrimage
,53,Male,Goa,October,Summer,3,9,No,Pilgrimage
Diya Pawar,29,Female,Goa,November,Festival,,6,Yes,Festival
Rohit Joshi,40,Male,Goa,June,Festival,11,,Yes,Holiday
Ayaan Joshi,29,Male,Kashmir,May,Monsoon,3,1,No,Business
Saanvi Pawar,25,Male,Shimla,February,Monsoon,11,7,Yes,Holiday
Sai Pandey,53,Female,Goa,December,Monsoon,12,5,,Festival
Sneha Pandey,22,Male,Kashmir,April,Winter,8,1,Yes,Festival
Rahul Singh,45,,Kashmir,April,Summer,3,6,Yes,Pilgrimage
Rohit Reddy,20,Male,Konkan,March,Monsoon,12,1,No,Festival
Saanvi Sharma,49,Female,Manali,October,Festival,7,7,Yes,Holiday
Rohit Iyer,34,Female,Goa,December,Winter,14,6,No,Holiday
Ishaan Naidu,48,Male,Jaipur,February,Festival,11,10,No,Holiday
Vihaan Yadav,40,Female,Kashmir,December,,14,,Yes,Business
Rahul Patil,35,Male,Kashmir,November,Monsoon,,3,Yes,Holiday
Sneha Thakur,45,Male,Shimla,November,Festival,12,2,No,
Rahul Waghmare,54,Female,Manali,June,Summer,5,10,Yes,Holiday
Abhilasha Verma,55,Male,Konkan,February,Summer,2,4,Yes,
Sunita Thakur,40,Male,Kashmir,September,Monsoon,9,5,,Pilgrimage
Ayaan Kulkarni,52,Female,Kashmir,July,Winter,14,6,No,Business
Vihaan Deshmukh,39,Female,Kashmir,October,Festival,2,9,Yes,Festival
Ananya Kulkarni,23,Male,Konkan,April,Summer,14,3,Yes,Festival
,49,Male,Jaipur,January,Winter,7,9,No,Business
Vivaan More,25,Female,Kashmir,March,Monsoon,15,10,Yes,Holiday
Gaurav Waghmare,60,Female,Manali,June,Monsoon,14,7,Yes,Business
Aarav Yadav,35,Female,Manali,April,Summer,15,5,No,Business
Myra More,18,Male,Konkan,June,Summer,5,2,Yes,Holiday
Sai Thakur,37,Female,Manali,August,Summer,4,2,Yes,Festival
Arjun Kulkarni,50,Male,Jaipur,September,Monsoon,3,4,Yes,Holiday
Abhilasha Iyer,54,Female,Shimla,June,Winter,14,8,Yes,Holiday
Ananya Verma,39,Male,Goa,March,Festival,4,9,No,Festival
Anika Waghmare,56,Male,Kashmir,June,Festival,13,2,No,Business
Abhilasha Waghmare,27,Male,Goa,March,Monsoon,7,9,Yes,Pilgrimage
Pooja Yadav,60,Female,Konkan,August,Festival,,6,No,Business
Krishna Ghosh,54,Female,Kashmir,December,Summer,2,9,No,Business
Pari Yadav,32,Male,Goa,February,Festival,3,1,Yes,Business
Ishaan Ghosh,,Female,Goa,March,Summer,,3,Yes,Pilgrimage
Aarav Sharma,,Male,Manali,July,Festival,5,4,No,Pilgrimage
Ayaan Joshi,,Male,Manali,September,Festival,12,3,No,Pilgrimage
Rohit Chitkote,55,,Goa,March,Winter,8,7,No,Business
Saanvi Jadhav,38,Female,Konkan,May,Monsoon,2,4,Yes,Holiday
Saanvi Deshmukh,38,Male,Konkan,November,,7,3,No,Pilgrimage
Manisha Patil,44,Male,Vrindavan,December,Summer,5,3,Yes,Festival
Kiran Deshmukh,51,Male,Shimla,December,Winter,11,9,,Festival
Saanvi More,38,Female,Kashmir,March,Monsoon,13,3,Yes,Pilgrimage
Saanvi Pawar,,Male,Kashmir,November,Winter,4,1,Yes,Holiday
Vihaan Pawar,55,Female,Jaipur,January,Summer,6,7,No,Festival
Saanvi Mishra,42,Male,Konkan,April,Monsoon,,9,No,Business
Anika Reddy,54,Male,Shimla,March,Winter,6,1,Yes,Business
Diya Naidu,52,Female,Konkan,April,Winter,15,8,No,Holiday
Aditya Ghosh,26,Male,Kashmir,June,Festival,5,1,No,Festival
Rahul Joshi,57,Male,Shimla,May,Winter,10,7,No,Festival
Sujeet Waghmare,44,Male,Konkan,,Summer,8,6,Yes,Business
Sujeet Chitkote,37,Female,Jaipur,February,Monsoon,5,1,Yes,Business
Ayaan Iyer,47,,Manali,June,Summer,3,8,Yes,Business
Gaurav Waghmare,45,Female,Kashmir,October,Summer,12,10,No,Pilgrimage
Pooja Pawar,49,Male,Kashmir,July,Monsoon,13,5,No,Pilgrimage
Aadhya Verma,18,Male,Shimla,March,Winter,4,6,No,Festival
Sara Reddy,24,Male,Manali,,Monsoon,,9,No,Pilgrimage
Rohit More,25,Male,Vrindavan,September,Festival,15,1,Yes,Holiday
Arjun Ghosh,28,Female,Jaipur,September,Monsoon,7,2,Yes,Holiday
Prisha Pawar,20,Female,Goa,September,Monsoon,9,5,No,Pilgrimage
Myra Ghosh,42,Male,Kashmir,October,Winter,4,4,Yes,Pilgrimage
,21,Female,Manali,April,Summer,15,10,Yes,Pilgrimage
Abhilasha Jadhav,53,Male,Manali,February,Monsoon,9,6,,Business
Krishna More,60,Male,Shimla,July,Festival,3,2,No,Business
Sai Chitkote,34,Female,Konkan,May,Summer,8,8,Yes,Festival
Ishaan Waghmare,52,Female,,September,Festival,10,10,No,Pilgrimage
Aarav Chitkote,42,Male,Goa,November,,10,8,No,Business
Rohit Iyer,38,Male,Manali,June,Winter,10,4,No,Business
Sai Iyer,32,Male,Kashmir,,Summer,8,,,Festival
Ishaan Jadhav,48,Male,Jaipur,November,Festival,3,6,Yes,Holiday
Sneha Pawar,32,Male,Manali,December,Winter,12,4,Yes,Pilgrimage
Manisha Deshmukh,42,,Manali,February,Winter,9,9,Yes,Festival
Krishna Singh,,Male,Goa,October,Festival,7,2,No,Festival
Diya Sharma,46,Male,Manali,July,Festival,9,9,Yes,Festival
Sneha Naidu,39,Female,,July,Summer,3,3,No,Festival
Ananya Jadhav,49,Male,Jaipur,March,Winter,9,2,Yes,Pilgrimage
Pooja Pawar,39,Female,Vrindavan,September,Monsoon,10,7,No,Business
Rohit Jadhav,23,Female,Konkan,May,,3,3,Yes,Holiday
Kiran Kulkarni,58,Male,Shimla,August,Summer,3,2,No,Pilgrimage
Pooja Pandey,21,Female,Kashmir,October,Winter,4,7,No,Business
Vihaan Patil,24,,Kashmir,February,Festival,13,,No,Festival
Vihaan Deshmukh,28,Male,Vrindavan,November,Monsoon,9,6,Yes,Festival
Ishaan Deshmukh,39,Male,Shimla,September,Winter,14,10,Yes,Pilgrimage
Arjun Pandey,53,Female,Kashmir,February,Winter,12,,Yes,Business
,18,Male,,March,Festival,8,7,No,Festival
Ayaan Deshmukh,37,Male,Konkan,April,Festival,5,9,No,Pilgrimage
Sneha Iyer,60,Male,,May,Winter,7,6,No,Pilgrimage
Aarav Joshi,56,Male,Jaipur,March,Summer,13,4,Yes,Holiday
Aditya Yadav,44,Male,Goa,June,Festival,15,4,Yes,Holiday
Myra Deshmukh,28,Male,Kashmir,December,Festival,6,6,No,
Krishna Jadhav,32,Male,,May,Festival,12,1,Yes,Business
Myra Patil,54,Female,Konkan,May,Summer,4,1,Yes,Holiday
Gaurav More,46,Male,Goa,May,Festival,10,3,,
Sujeet Joshi,54,Male,Goa,May,Summer,3,5,Yes,Business
Anika Pandey,25,Male,,March,,14,1,No,Business
Ira Joshi,27,Male,,November,Festival,5,6,No,Festival
Pooja Joshi,38,Female,,April,Monsoon,2,2,Yes,Festival
Abhilasha Pawar,54,Male,Konkan,June,Winter,3,1,No,Festival
Myra Ghosh,57,Male,Manali,October,,12,3,No,Business
Pari Singh,53,Female,Vrindavan,June,Winter,10,10,Yes,Festival
Aditya Jadhav,40,Male,Goa,December,Winter,6,2,Yes,Festival
Arjun More,19,Male,Goa,April,Summer,6,8,Yes,Holiday
Gaurav Chitkote,51,Male,Konkan,December,Winter,13,5,No,Business
Ananya Pandey,,Male,Goa,February,Monsoon,3,1,No,Pilgrimage
Vihaan Joshi,58,Female,Goa,July,Monsoon,5,,Yes,
Vivaan Kulkarni,50,Female,Kashmir,February,Monsoon,10,9,Yes,Holiday
Anika Pawar,37,Female,Goa,December,Winter,14,1,No,Pilgrimage
Pari Verma,42,Male,Manali,July,,2,9,No,Holiday
Ishaan Yadav,31,Female,,December,Winter,13,10,No,Business
Diya Kulkarni,38,Female,Jaipur,May,Monsoon,10,2,Yes,Festival
Sujeet Kulkarni,20,Male,Manali,,Summer,4,6,No,Pilgrimage
Kiran Naidu,46,Male,Manali,June,Monsoon,11,4,Yes,Festival
Abhilasha Iyer,54,Female,Shimla,September,Festival,,9,No,Holiday
Ira Reddy,41,Male,Shimla,May,Winter,3,4,Yes,Business
Vivaan More,19,Female,Vrindavan,,Festival,12,7,No,Business
Vivaan Patil,54,Female,Goa,August,Summer,13,2,Yes,Holiday
Aditya Naidu,20,Male,Manali,December,Festival,8,5,Yes,
Anika Naidu,24,,Jaipur,July,Winter,14,2,,Holiday
Saanvi Deshmukh,38,Female,Kashmir,October,Monsoon,14,1,Yes,Festival
Prisha Ghosh,26,Male,Goa,September,Summer,14,5,No,Holiday
Aadhya Ghosh,47,Female,Kashmir,,Monsoon,14,9,,
Sneha Chitkote,40,Male,Shimla,May,Winter,6,8,Yes,Business
Reyansh Thakur,44,Male,Kashmir,August,Summer,2,1,No,Pilgrimage
Pari Patil,28,Female,Manali,August,Summer,9,2,Yes,Festival
,51,Female,,June,Monsoon,6,3,Yes,Business
Reyansh Sharma,49,Male,Kashmir,January,Festival,4,3,Yes,Business
Aditya Singh,52,Male,Kashmir,August,Monsoon,15,7,Yes,Pilgrimage
Sneha Ghosh,37,Female,Goa,January,Summer,9,5,No,Pilgrimage
Aarav Deshmukh,,Female,Goa,October,Monsoon,13,4,No,Festival
Ishaan Iyer,28,Female,Shimla,July,Summer,3,7,No,Holiday
Diya Pawar,20,Male,Konkan,November,Festival,8,4,No,Festival
Sneha Singh,55,Male,,,Monsoon,2,8,Yes,Pilgrimage
Vivaan Sharma,,Male,Vrindavan,September,Festival,13,4,Yes,Holiday
Sneha Chitkote,50,Female,Manali,,Summer,14,7,Yes,Festival
Sujeet Thakur,22,Male,Vrindavan,April,Monsoon,13,2,No,Business
Vihaan Pandey,,Male,,June,Winter,,5,No,Holiday
Reyansh Iyer,51,Male,Kashmir,June,Monsoon,12,10,No,Holiday
Ishaan Chitkote,26,Male,Kashmir,March,Summer,4,2,Yes,Festival
Pari Waghmare,26,Male,Manali,May,Festival,10,10,Yes,Holiday
Diya Pandey,33,Male,Kashmir,July,Monsoon,9,6,No,Festival
Abhilasha Ghosh,24,Male,Jaipur,February,Summer,10,4,Yes,Pilgrimage
Vivaan Mishra,55,Female,Kashmir,October,Festival,13,7,Yes,Holiday
Krishna Kulkarni,27,Male,Manali,June,Monsoon,5,5,No,Business
Pooja Singh,33,Female,Jaipur,April,Summer,8,1,No,Festival
Sara Pawar,58,Male,Konkan,,Winter,4,8,Yes,Business
Saanvi Verma,44,Female,Manali,July,Summer,3,8,No,Pilgrimage
Sai Iyer,40,Male,Manali,January,Monsoon,10,,Yes,Business
Vivaan Kulkarni,,Male,Jaipur,October,Festival,8,6,Yes,Business
,55,Male,Goa,January,Winter,12,7,Yes,Pilgrimage
Vihaan Yadav,,Male,Jaipur,May,Festival,12,10,No,Pilgrimage
Prisha Verma,38,Male,Goa,March,Summer,12,7,No,Festival
Aarav Yadav,45,Male,Goa,May,Festival,12,9,Yes,Festival
Krishna Mishra,49,Female,Konkan,April,Summer,5,6,No,Festival
Sara Pawar,56,Male,Kashmir,June,Summer,13,2,No,Pilgrimage
Anika Pawar,,Female,Manali,February,Winter,13,7,No,Festival
Gaurav Verma,49,Female,Goa,January,Winter,7,7,,Pilgrimage
Ananya Deshmukh,35,Female,Vrindavan,September,Summer,11,9,Yes,Holiday
Abhilasha Jadhav,21,Female,Manali,June,Festival,12,6,Yes,Holiday
Manisha Deshmukh,,Female,Manali,June,Winter,,7,No,Holiday
Pooja Mishra,,Male,Konkan,August,Summer,7,5,No,Festival
Aditya Patil,35,Female,Konkan,,Summer,10,9,Yes,Festival
Ira More,60,Male,,September,Summer,5,5,Yes,Business
Sunita Joshi,33,Male,Goa,March,Summer,8,1,No,Festival
Saanvi Patil,21,Male,Jaipur,July,Festival,8,4,Yes,Pilgrimage
Rahul Chitkote,20,,Goa,September,Summer,,9,Yes,Business
Vivaan Naidu,47,Male,Manali,March,Monsoon,3,8,Yes,Business
Vivaan Patil,,Male,Shimla,July,Summer,6,2,,Pilgrimage
Pooja Sharma,43,Male,Goa,June,Summer,7,5,Yes,Pilgrimage
Reyansh Sharma,39,Female,Shimla,May,Winter,,2,Yes,Pilgrimage
Sunita Waghmare,43,Male,Manali,April,Monsoon,4,2,No,Business
Myra Waghmare,58,Male,Shimla,May,Summer,8,,No,Festival
Gaurav Mishra,48,Female,Konkan,April,Festival,2,9,,Holiday
Kiran Yadav,42,Female,Shimla,July,Monsoon,14,7,Yes,Business
Reyansh Pawar,47,Male,Goa,February,Summer,7,,No,Pilgrimage
Aarav Waghmare,50,Male,Kashmir,May,Festival,7,4,No,Holiday
Pooja Patil,48,Male,Konkan,July,Summer,13,5,No,Holiday
Krishna Verma,49,Male,Konkan,February,Festival,7,5,No,Holiday
Rahul Patil,57,Male,,January,Summer,11,8,No,Holiday
Abhilasha Ghosh,60,Male,Shimla,July,Monsoon,6,,No,Festival
Pooja Naidu,58,Male,Jaipur,June,Festival,9,1,,Holiday
,18,Female,Shimla,January,Summer,12,7,No,Holiday
Anika Sharma,41,Male,Manali,April,Summer,5,8,Yes,Festival
Ishaan Naidu,27,Female,Konkan,March,Winter,,5,Yes,Pilgrimage
Vihaan Jadhav,55,Male,Goa,January,Festival,4,2,,Business
Diya Naidu,23,Female,Jaipur,September,Festival,15,4,No,Holiday
Aadhya Iyer,55,Male,Kashmir,October,Festival,,4,Yes,Festival
Pooja Yadav,48,Male,Manali,December,Festival,4,1,Yes,Business
Ishaan Deshmukh,22,Male,Goa,June,Monsoon,3,3,Yes,
Manisha Deshmukh,57,Male,Manali,February,Winter,5,10,No,Festival
Saanvi Chitkote,21,Male,Goa,November,Summer,12,7,Yes,Business
Arjun Iyer,30,Male,Goa,October,Festival,9,3,No,Holiday
Abhilasha Mishra,60,Male,Manali,January,Festival,11,4,Yes,Business
Vihaan Pawar,22,Male,,December,Monsoon,10,3,Yes,Business
Aadhya Deshmukh,50,Male,Manali,,Monsoon,11,8,Yes,Business
Anika Kulkarni,55,Male,Kashmir,January,Winter,6,1,Yes,Holiday
Aadhya Verma,21,,Goa,June,Winter,14,9,,Festival
Sara Verma,38,,Shimla,July,Summer,15,8,Yes,
Rahul Reddy,37,Male,Manali,January,Monsoon,13,10,No,Festival
Ishaan Iyer,58,Male,Manali,March,Festival,14,10,,Pilgrimage
Prisha Ghosh,59,Female,Vrindavan,July,Winter,3,3,No,Pilgrimage
Sneha Iyer,33,Male,Konkan,June,Winter,5,6,No,Festival
Aditya Yadav,29,Male,Shimla,January,,9,9,No,Holiday
,43,Male,Vrindavan,June,Monsoon,2,5,No,Pilgrimage
Myra Thakur,22,Male,Konkan,May,Festival,5,9,Yes,Holiday
Sujeet Deshmukh,47,Male,Jaipur,July,Monsoon,2,6,No,Pilgrimage
Diya Jadhav,54,Male,Konkan,October,Festival,3,10,Yes,Pilgrimage
Aditya Thakur,54,Male,Shimla,April,Festival,8,7,No,Pilgrimage
Saanvi Reddy,54,Female,Goa,July,Winter,,10,Yes,Festival
Sunita Pawar,40,Male,Kashmir,May,Winter,3,9,No,Festival
Saanvi Jadhav,44,,Goa,August,Monsoon,6,8,Yes,Festival
Aditya Reddy,40,Male,Jaipur,December,Summer,2,3,Yes,Business
Pooja Thakur,50,Male,Goa,January,Summer,6,2,Yes,Holiday
Sujeet Patil,48,Female,Shimla,May,Festival,7,2,Yes,Festival
Myra Pawar,18,Male,Konkan,July,Winter,15,7,No,Business
Ayaan Deshmukh,20,Male,Manali,June,Winter,8,7,Yes,Holiday
Prisha Sharma,29,Male,Jaipur,June,Monsoon,14,2,No,Business
Aadhya Pawar,26,Male,Jaipur,July,Monsoon,5,9,No,Festival
Ayaan Yadav,,Female,,October,Summer,13,8,,Business
Rahul Naidu,54,Male,Manali,January,Festival,7,2,No,Pilgrimage
Aarav Yadav,55,Male,Kashmir,March,Monsoon,13,7,Yes,Holiday
,40,Male,Konkan,April,Winter,2,7,No,Business
Krishna Singh,45,Male,Kashmir,February,Summer,3,8,No,Holiday
Ananya Deshmukh,49,Male,Kashmir,April,,10,9,No,Pilgrimage
Arjun Deshmukh,,Male,,May,Festival,,2,Yes,
Ananya Iyer,19,Male,Shimla,February,Festival,8,10,Yes,Holiday
Myra More,40,Female,Goa,September,Festival,2,4,Yes,Pilgrimage
Pari Mishra,34,Male,,August,Summer,9,4,No,Festival
Saanvi Naidu,45,Male,Jaipur,March,Monsoon,9,10,No,Pilgrimage
Reyansh Patil,50,Male,Konkan,December,Summer,10,9,Yes,Pilgrimage
Aadhya Kulkarni,26,Female,Vrindavan,March,Summer,4,10,Yes,Pilgrimage
Ananya Mishra,24,Male,Shimla,July,Summer,15,4,Yes,Festival
Kiran Singh,25,,Goa,July,Monsoon,4,3,No,Festival
Sneha Verma,59,Female,Kashmir,December,Monsoon,8,1,No,Pilgrimage
Kiran Reddy,40,Male,Manali,October,,13,8,No,Business
Pari Kulkarni,25,Male,Goa,December,Winter,10,4,Yes,Business
,31,Female,Konkan,September,Winter,7,3,Yes,Pilgrimage
Manisha Kulkarni,48,Female,Konkan,November,Monsoon,8,6,No,Business
Reyansh Thakur,19,,Vrindavan,April,Monsoon,2,4,No,Business
Sujeet Iyer,38,Male,Kashmir,October,Monsoon,2,4,No,Festival
Sai Iyer,43,Male,Kashmir,November,Summer,8,6,No,Business
Vihaan Iyer,45,Male,Shimla,September,Monsoon,14,8,Yes,Holiday
Ishaan Yadav,25,Male,Manali,July,Monsoon,4,2,No,Pilgrimage
Pooja Patil,59,Male,Kashmir,September,Festival,8,10,Yes,
Saanvi Chitkote,20,Female,Manali,,Summer,7,3,No,Business
Aadhya Sharma,31,Male,Vrindavan,May,Festival,15,,No,Festival
Pooja Naidu,35,Male,Shimla,,Monsoon,8,4,Yes,Business
Pooja Pandey,36,,Jaipur,September,Winter,,5,No,
Gaurav Iyer,48,Female,Konkan,August,Monsoon,11,10,Yes,Pilgrimage
,31,Female,Goa,May,Summer,3,2,No,Business
Vivaan Kulkarni,50,Male,Kashmir,July,Monsoon,4,2,Yes,Pilgrimage
Ira Naidu,38,Male,Konkan,July,Festival,5,10,Yes,Pilgrimage
Aadhya Kulkarni,32,Female,Kashmir,June,Summer,13,4,No,
Ira Iyer,32,Male,Kashmir,July,Festival,8,4,No,Pilgrimage
Arjun Joshi,28,Male,Goa,,Festival,12,4,Yes,Holiday
Ishaan Reddy,21,Female,,April,Summer,14,2,Yes,Festival
Prisha Joshi,49,Male,Shimla,January,Monsoon,7,1,No,Pilgrimage
Gaurav Naidu,31,Male,Goa,,Monsoon,10,6,No,Business
Arjun More,31,Male,Kashmir,April,Festival,10,10,No,Holiday
Diya Deshmukh,18,Male,Goa,October,Monsoon,15,6,Yes,Business
Rahul Deshmukh,30,Male,Goa,December,Summer,3,8,Yes,Pilgrimage
Sai Chitkote,31,Male,Konkan,November,Monsoon,6,9,No,Business
Anika Thakur,28,Male,Jaipur,January,Winter,12,5,Yes,
Pari Sharma,35,Male,Jaipur,July,Monsoon,12,7,No,Pilgrimage
Sara Mishra,43,Female,Goa,January,Summer,12,9,Yes,Festival
Saanvi Patil,30,Female,Manali,December,Festival,5,7,No,Business
Pooja Naidu,41,Female,Manali,October,Monsoon,6,,Yes,Festival
Sujeet Mishra,43,Female,Kashmir,October,Monsoon,13,4,Yes,
Diya Verma,19,Female,Vrindavan,May,Winter,6,10,No,Holiday
Arjun Verma,29,Male,Konkan,January,Monsoon,14,5,No,Holiday
Prisha Chitkote,,Female,Kashmir,December,Summer,9,2,Yes,Festival
Sara Kulkarni,42,Female,Kashmir,July,Festival,13,7,Yes,Holiday
Ananya Deshmukh,57,Female,Jaipur,January,Monsoon,14,10,No,Festival
Abhilasha Naidu,42,Female,Vrindavan,June,Festival,5,7,Yes,
Ishaan Joshi,36,Female,Manali,July,Festival,5,9,No,Business
Rahul Mishra,41,Male,Goa,,Summer,15,3,Yes,Festival
Pari Verma,29,Female,Konkan,June,Monsoon,4,4,No,Holiday
Aarav Iyer,24,Female,Kashmir,December,Summer,3,6,Yes,Festival
Aadhya Singh,51,Male,,September,,13,1,Yes,Business
Sujeet Thakur,45,Female,Shimla,October,Festival,,9,No,Holiday
Sujeet Naidu,38,Female,Goa,November,Monsoon,4,5,Yes,Festival
Sunita Pawar,32,Male,Goa,July,Winter,9,6,Yes,Pilgrimage
Sunita Iyer,24,Female,Konkan,September,Summer,,7,Yes,Business
Sujeet Pawar,44,Male,Kashmir,February,,10,4,No,Festival
Rahul Sharma,43,Male,Konkan,November,Winter,2,4,No,Business
Sara Singh,22,Male,Goa,September,Winter,10,5,No,Business
Aditya Ghosh,41,Male,Konkan,November,Monsoon,5,9,Yes,Business
Myra Jadhav,39,Male,Goa,March,,7,5,Yes,Festival
Saanvi Waghmare,38,Male,,November,,4,3,No,Holiday
Ishaan Pandey,20,Male,Jaipur,July,Summer,5,2,No,Pilgrimage
Sneha Ghosh,52,Female,Konkan,January,Festival,8,9,Yes,Pilgrimage
Ananya Joshi,43,Male,Konkan,September,Winter,13,7,No,Holiday
Aarav Singh,46,Female,Manali,May,Monsoon,10,5,Yes,Pilgrimage
Sai Naidu,37,Female,Vrindavan,September,Summer,5,1,No,Business
Rohit Verma,,Female,Konkan,December,Festival,9,5,Yes,Holiday
Ishaan Mishra,43,Male,Kashmir,May,Festival,15,3,No,
Saanvi Sharma,46,Male,Goa,August,Festival,10,2,Yes,Business
Reyansh Pawar,60,Female,Kashmir,October,Winter,,10,Yes,Holiday
Kiran Verma,60,Female,Kashmir,February,Summer,11,9,Yes,Holiday
Sujeet Joshi,47,Female,Manali,November,Monsoon,15,5,No,Pilgrimage
Saanvi Kulkarni,24,Female,Manali,June,Monsoon,12,1,No,Holiday
Sara Deshmukh,21,Male,,September,Winter,9,9,No,Business
Myra Reddy,60,Male,Jaipur,October,Monsoon,14,10,Yes,
Aditya Joshi,35,Male,Shimla,January,Summer,7,,No,Pilgrimage
Sara Deshmukh,,Male,Jaipur,August,Monsoon,9,8,Yes,Festival
Diya Joshi,46,Male,,August,Festival,13,6,Yes,Pilgrimage
Ishaan Pawar,52,,Konkan,July,Monsoon,6,6,No,Pilgrimage
Rohit More,23,Male,Kashmir,May,Festival,14,8,No,Holiday
Reyansh Ghosh,41,Male,Goa,June,Winter,3,9,Yes,Business
Krishna Ghosh,45,Male,Konkan,January,Summer,13,8,No,Business
Aadhya Singh,44,Female,Manali,February,Summer,8,8,No,Festival
Aditya Naidu,38,Female,Manali,May,Festival,13,6,No,Holiday
Rahul Pandey,27,Male,,January,Monsoon,5,5,No,Business
Kiran Naidu,46,Female,Manali,April,Monsoon,14,8,Yes,Business
Sunita Pandey,29,Male,Manali,January,Festival,4,,No,Holiday
Aadhya More,43,,Kashmir,September,Winter,9,1,Yes,
Rohit Patil,18,Male,Manali,March,Summer,3,3,No,Business
Sara Sharma,43,Male,Shimla,July,Festival,13,5,Yes,Festival
Myra Joshi,29,Male,Konkan,November,Festival,12,6,Yes,Festival
Sneha Pawar,38,Male,Goa,,Monsoon,4,6,Yes,Business
Krishna Naidu,51,Female,Konkan,September,Festival,14,8,Yes,Business
Abhilasha Joshi,27,Female,Jaipur,August,Winter,12,8,No,Pilgrimage
Sujeet Kulkarni,34,Male,Goa,March,Summer,6,9,Yes,Pilgrimage
Sneha Singh,56,Female,Jaipur,November,Winter,11,5,Yes,Festival
Arjun Patil,29,Female,Shimla,December,Winter,7,7,No,Holiday
Diya Patil,47,Female,Goa,October,Festival,,3,Yes,Holiday
Kiran Kulkarni,34,Female,Jaipur,July,Summer,11,2,No,Business
Sai Yadav,34,Male,Goa,February,Winter,4,7,Yes,Holiday
Ishaan Kulkarni,43,Male,Kashmir,December,Monsoon,6,1,Yes,Business
Sneha Iyer,23,Male,Jaipur,May,,15,3,Yes,Pilgrimage
Rohit Mishra,,Female,Konkan,January,Summer,3,10,No,Pilgrimage
Gaurav Verma,52,Male,Manali,September,Summer,,7,Yes,Pilgrimage
Krishna Iyer,,Male,Vrindavan,October,Summer,9,3,No,Business
Sunita Patil,37,Female,Vrindavan,April,Summer,7,1,No,Pilgrimage
Abhilasha Thakur,35,Male,Shimla,April,Festival,6,4,No,Holiday
Sara Thakur,57,Female,Shimla,September,Festival,15,4,No,Festival
Diya Waghmare,49,Female,Konkan,December,Festival,8,2,No,Business
Aadhya Kulkarni,50,Female,Vrindavan,December,Festival,5,7,No,
Manisha Waghmare,,Male,,August,Winter,10,8,No,Pilgrimage
Sara Jadhav,40,Female,Vrindavan,December,Festival,,5,Yes,Business
Arjun Iyer,20,Female,Goa,November,Winter,9,10,No,Business
Gaurav Ghosh,25,Male,Konkan,August,Winter,11,4,Yes,Holiday
Abhilasha Pandey,31,Female,Manali,January,Festival,5,8,Yes,Holiday
